gene,gscore,druggable,A,B
MIR1233-1,0,False,True,False
MIR1233-2,0,False,True,False
MIR21,0,False,True,False
MIR4722,0,False,True,False
MIR4767,0,False,True,False
MIR491,0,False,True,False
MIR511-1,0,False,True,False
MIR511-2,0,False,True,False
MIR548AI,0,False,True,False
MIR650,0,False,True,False
MLH1,0.432800000000000018,False,True,True
MLIP,0,False,True,False
MLLT10,0.424999999999999989,False,True,False
MLLT3,0.349999999999999978,False,True,False
MLLT4,0.349999999999999978,False,True,False
MLLT6,0.497499999999999998,False,True,True
MN1,0.571400000000000019,False,True,False
MPDZ,0.149999999999999994,False,True,False
MPHOSPH8,0.149999999999999994,False,True,False
MPP7,0.149999999999999994,False,True,False
MRC1,0.0749999999999999972,False,True,False
MRPL13,0.149999999999999994,False,True,False
MRVI1,0.0749999999999999972,False,True,False
MSL1,0.0749999999999999972,False,True,False
MSRA,0.353399999999999992,False,True,False
MTAP,0.149999999999999994,True,True,False
MT-ATP6,0,False,True,False
MTBP,0.149999999999999994,False,True,False
MT-CO3,0,True,True,False
MTCP1,0.25,False,True,True
MT-CYB,0,True,True,False
MTG1,0.0749999999999999972,False,True,True
MT-ND1,0,True,True,False
MT-ND2,0,True,True,False
MT-ND4,0,True,True,False
MT-ND5,0,True,True,False
MTOR,0.622299999999999964,True,True,False
MTSS1,0.225000000000000006,False,True,True
MUC16,0.149999999999999994,True,True,False
MUC4,0.149999999999999994,False,True,False
MXRA5,0.200000000000000011,False,True,False
MYB,0.761499999999999955,False,True,True
MYBBP1A,0.149999999999999994,False,True,False
MYC,0.548699999999999966,True,True,False
MYCN,0.55149999999999999,False,True,True
MYCNOS,0.0749999999999999972,False,True,False
MYH9,0.529699999999999949,False,True,False
MYO10,0.149999999999999994,False,True,True
MYO15A,0.225000000000000006,False,True,True
MYO3B,0.308300000000000018,False,True,False
MYOM2,0.149999999999999994,False,True,True
NBEA,0.200000000000000011,False,True,False
NBPF11,0,False,True,False
NCOA2,0.56579999999999997,True,True,True
NCOR2,0.349999999999999978,False,True,True
NDUFB9,0.343000000000000027,True,True,True
NF1,0.722899999999999987,False,True,False
NF1P2,0,False,True,False
NF2,0.441599999999999993,False,True,False
NFATC2,0.25,False,True,True
NFIB,0.25,False,True,True
NHSL1,0.0749999999999999972,False,True,True
NME7,0.149999999999999994,False,True,False
NR1D1,0.0749999999999999972,False,True,False
NR4A3,0.357999999999999985,False,True,False
NRAS,0.671499999999999986,False,True,True
NTRK3,0.473499999999999976,False,True,False
NUBPL,0.149999999999999994,False,True,True
NUTM1,0.100000000000000006,False,True,False
NXPH1,0.149999999999999994,False,True,False
ODF3,0.0749999999999999972,False,True,False
ODF4,0.100000000000000006,False,True,True
OPCML,0.0749999999999999972,False,True,True
OR2J2,0.0749999999999999972,False,True,False
OR3A2,0.0749999999999999972,False,True,False
OR4C6,0.0749999999999999972,False,True,False
OR4F4,0.0749999999999999972,False,True,False
OR4P4,0.0749999999999999972,False,True,False
OR4S2,0.0749999999999999972,False,True,False
OR51A2,0.0749999999999999972,False,True,False
OR52N1,0.125,False,True,False
OR52N5,0.0749999999999999972,False,True,False
ORMDL3,0.149999999999999994,False,True,False
OXR1,0.149999999999999994,False,True,False
PAK3,0.310800000000000021,False,True,False
PAX3,0.451500000000000012,False,True,True
PAX7,0.174999999999999989,False,True,True
PBRM1,0.450000000000000011,False,True,False
PCCB,0.364300000000000013,True,True,True
PCDH19,0.0749999999999999972,False,True,False
PCDHB10,0.149999999999999994,False,True,False
PCSK1N,0.0749999999999999972,False,True,False
PDCD11,0.0749999999999999972,False,True,True
PDE12,0.149999999999999994,False,True,True
PDGFRA,0.575600000000000001,True,True,True
PDGFRB,0.431599999999999984,True,True,True
PEG3,0.0749999999999999972,False,True,False
PGAM4,0.0749999999999999972,False,True,False
PIK3CA,0.760199999999999987,True,True,True
PINK1,0.149999999999999994,False,True,True
PITPNM3,0.225000000000000006,False,True,False
PKD1L1,0.0749999999999999972,False,True,False
PKNOX2,0.149999999999999994,False,True,False
PLAA,0.149999999999999994,False,True,True
PLCE1,0.149999999999999994,False,True,True
PLCG1,0.349999999999999978,False,True,True
PLEKHF1,0.149999999999999994,False,True,False
PLXDC1,0.149999999999999994,False,True,False
PMS2,0.325000000000000011,True,True,False
POTEB,0.0749999999999999972,False,True,False
PRDM16,0.490300000000000014,False,True,True
PREX2,0.174999999999999989,False,True,True
PRKAG2,0.149999999999999994,False,True,False
PROSC,0.149999999999999994,False,True,False
PRPS2,0,False,True,True
PRSS1,0.149999999999999994,True,True,False
PRSS2,0.0749999999999999972,True,True,False
PRSS3,0.149999999999999994,True,True,False
PRSS3P2,0,False,True,False
